density,leniency,index,performance
14,1,0,0.0
14,1,1,0.0
14,1,2,0.5714285714285714
26,2,0,0.0
26,2,1,0.0
26,2,2,0.5714285714285714
11,4,0,0.0
11,4,1,0.0
11,4,2,2.8214285714285716
20,8,0,0.0
20,8,1,0.0
20,8,2,2.8214285714285716
12,6,0,0.0
12,6,1,0.0
12,6,2,2.2142857142857144
10,1,0,0.0
10,1,1,0.0
10,1,2,0.5357142857142857
9,2,0,0.0
9,2,1,0.0
9,2,2,0.6785714285714286
7,0,0,0.0
7,0,1,0.0
7,0,2,1.75
22,5,0,0.0
22,5,1,0.0
22,5,2,0.75
20,5,0,0.0
20,5,1,0.0
20,5,2,0.5
19,4,0,0.0
19,4,1,0.0
19,4,2,0.75
19,1,0,0.0
19,1,1,0.0
19,1,2,0.6428571428571428
9,5,0,0.0
9,5,1,0.0
9,5,2,1.7857142857142858
14,3,0,0.0
14,3,1,0.0
14,3,2,0.8214285714285714
27,4,0,0.0
27,4,1,0.0
27,4,2,0.7142857142857143
21,3,0,0.0
21,3,1,0.0
21,3,2,0.8214285714285714
20,2,0,0.0
20,2,1,0.0
20,2,2,0.8214285714285714
22,2,0,0.0
22,2,1,0.0
22,2,2,0.75
22,3,0,0.0
22,3,1,0.0
22,3,2,0.8214285714285714
32,1,0,0.1785714285714286
32,1,1,0.3571428571428571
32,1,2,2.5714285714285716
5,2,0,0.0
5,2,1,0.0
5,2,2,1.75
35,3,0,0.0
35,3,1,0.0714285714285714
35,3,2,2.8214285714285716
31,3,0,0.0
31,3,1,0.0
31,3,2,1.6428571428571428
9,4,0,0.0
9,4,1,0.0
9,4,2,0.6785714285714286
20,7,0,0.0
20,7,1,0.0
20,7,2,1.5
19,0,0,0.0
19,0,1,0.0
19,0,2,1.8214285714285714
23,6,0,0.0
23,6,1,0.0
23,6,2,1.8214285714285714
17,8,0,0.0
17,8,1,0.0
17,8,2,2.5714285714285716
24,1,0,0.0
24,1,1,0.0
24,1,2,1.0
16,1,0,0.0
16,1,1,0.0
16,1,2,1.3571428571428572
27,3,0,0.0
27,3,1,0.0
27,3,2,0.5357142857142857
18,2,0,0.0
18,2,1,0.0
18,2,2,0.6071428571428572
21,6,0,0.0
21,6,1,0.0
21,6,2,2.6785714285714284
22,4,0,0.0
22,4,1,0.0
22,4,2,0.6428571428571428
13,1,0,0.0
13,1,1,0.0
13,1,2,0.1071428571428571
25,2,0,0.0
25,2,1,0.0
25,2,2,0.0
10,3,0,0.0
10,3,1,0.0
10,3,2,0.0
13,2,0,0.0
13,2,1,0.0
13,2,2,0.7142857142857143
15,6,0,0.0
15,6,1,0.0
15,6,2,3.5357142857142856
10,5,0,0.0
10,5,1,0.0
10,5,2,0.6785714285714286
21,2,0,0.0
21,2,1,0.0
21,2,2,0.8214285714285714
27,2,0,0.0
27,2,1,0.0
27,2,2,0.0
22,0,0,0.0
22,0,1,0.0
22,0,2,0.6428571428571428
19,7,0,0.0
19,7,1,0.0
19,7,2,1.8214285714285714
6,1,0,0.0
6,1,1,0.0
6,1,2,0.7142857142857143
12,2,0,0.0
12,2,1,0.0
12,2,2,0.8214285714285714
9,3,0,0.0
9,3,1,0.0
9,3,2,0.6785714285714286
11,6,0,0.0
11,6,1,0.0
11,6,2,1.0714285714285714
7,3,0,0.0
7,3,1,0.0
7,3,2,0.8214285714285714
20,3,0,0.0
20,3,1,0.0
20,3,2,0.4285714285714286
16,2,0,0.0
16,2,1,0.0
16,2,2,0.75
26,3,0,0.0
26,3,1,0.0
26,3,2,0.7142857142857143
15,3,0,0.0
15,3,1,0.0
15,3,2,0.5357142857142857
12,4,0,0.0
12,4,1,0.0
12,4,2,0.8214285714285714
14,2,0,0.0
14,2,1,0.0
14,2,2,0.5357142857142857
24,8,0,0.0
24,8,1,0.0
24,8,2,1.7857142857142858
23,2,0,0.0
23,2,1,0.0
23,2,2,0.75
36,4,0,0.0
36,4,1,0.0
36,4,2,1.6785714285714286
28,6,0,0.0
28,6,1,0.0
28,6,2,0.7142857142857143
11,3,0,0.0
11,3,1,0.0
11,3,2,0.75
17,5,0,0.0
17,5,1,0.0
17,5,2,0.8214285714285714
8,2,0,0.0
8,2,1,0.0
8,2,2,2.6785714285714284
8,3,0,0.0
8,3,1,0.0
8,3,2,0.6785714285714286
31,2,0,0.1428571428571429
31,2,1,0.1428571428571429
31,2,2,1.6785714285714286
23,0,0,0.0
23,0,1,0.0
23,0,2,2.428571428571429
34,6,0,0.0714285714285714
34,6,1,0.6071428571428572
34,6,2,0.7857142857142857
9,7,0,0.0
9,7,1,0.0
9,7,2,1.8571428571428572
37,4,0,0.3214285714285714
37,4,1,0.8214285714285714
37,4,2,3.107142857142857
15,1,0,0.0
15,1,1,0.0
15,1,2,0.1428571428571429
26,4,0,0.0
26,4,1,0.0
26,4,2,0.6428571428571428
28,5,0,0.0
28,5,1,0.0
28,5,2,1.7142857142857144
20,1,0,0.0
20,1,1,0.0
20,1,2,1.5714285714285714
12,1,0,0.0
12,1,1,0.0
12,1,2,0.3571428571428571
24,2,0,0.0
24,2,1,0.0
24,2,2,0.7857142857142857
19,9,0,0.0
19,9,1,0.0
19,9,2,5.678571428571429
16,4,0,0.0
16,4,1,0.0
16,4,2,0.8214285714285714
25,4,0,0.0
25,4,1,0.0
25,4,2,0.6785714285714286
13,6,0,0.0
13,6,1,0.0
13,6,2,1.5
23,7,0,0.0
23,7,1,0.0
23,7,2,2.5
10,0,0,0.0
10,0,1,0.0
10,0,2,0.25
14,5,0,0.0
14,5,1,0.0
14,5,2,0.2857142857142857
11,1,0,0.0
11,1,1,0.0
11,1,2,1.8214285714285714
13,3,0,0.0
13,3,1,0.0
13,3,2,0.7142857142857143
26,5,0,0.0
26,5,1,0.0
26,5,2,0.8214285714285714
20,4,0,0.0
20,4,1,0.0
20,4,2,0.75
6,2,0,0.0
