linearity,leniency,index,performance
0,8,0,0.0
0,8,1,0.0
0,8,2,0.0
6,5,0,0.0
6,5,1,0.0
6,5,2,0.0
3,4,0,0.0
3,4,1,0.0
3,4,2,0.0
7,2,0,0.0
7,2,1,0.0
7,2,2,0.9642857142857143
2,2,0,0.0
2,2,1,0.0
2,2,2,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
5,3,0,0.0
5,3,1,0.0
5,3,2,0.0
0,0,0,0.0
0,0,1,0.0
0,0,2,0.0
15,0,0,0.0
15,0,1,0.0
15,0,2,0.9642857142857143
13,4,0,0.0
13,4,1,0.0
13,4,2,0.9642857142857143
3,1,0,0.0
3,1,1,0.0
3,1,2,0.0
9,0,0,0.0
9,0,1,0.0
9,0,2,0.0
5,1,0,0.0
5,1,1,0.0
5,1,2,0.0
4,3,0,0.0
4,3,1,0.0
4,3,2,0.0
8,4,0,0.0
8,4,1,0.0
8,4,2,0.0
0,6,0,0.0
0,6,1,0.0
0,6,2,0.0
5,2,0,0.0
5,2,1,0.0
5,2,2,0.0
4,4,0,0.0
4,4,1,0.0
4,4,2,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
7,3,0,0.0
7,3,1,0.0
7,3,2,0.0
6,0,0,0.0
6,0,1,0.0
6,0,2,0.0
3,6,0,0.0
3,6,1,0.0
3,6,2,0.0
0,2,0,0.0
0,2,1,0.0
0,2,2,0.0
10,4,0,0.0
10,4,1,0.0
10,4,2,0.0
0,5,0,0.0
0,5,1,0.0
0,5,2,0.0
4,2,0,0.0
4,2,1,0.0
4,2,2,0.0
7,12,0,0.0
7,12,1,0.0
7,12,2,0.2142857142857143
2,1,0,0.0
2,1,1,0.0
2,1,2,0.0
0,4,0,0.0
0,4,1,0.0
0,4,2,0.0
6,12,0,0.0
6,12,1,0.0
6,12,2,0.0
6,4,0,0.0
6,4,1,0.0
6,4,2,0.0
5,7,0,0.0
5,7,1,0.0
5,7,2,0.0
3,10,0,0.0
3,10,1,0.0
3,10,2,0.0
3,2,0,0.0
3,2,1,0.0
3,2,2,0.0
10,5,0,0.0
10,5,1,0.0
10,5,2,0.0
11,4,0,0.0
11,4,1,0.0
11,4,2,0.0
0,1,0,0.0
0,1,1,0.0
0,1,2,0.0
3,3,0,0.0
3,3,1,0.0
3,3,2,0.0
3,8,0,0.0
3,8,1,0.0
3,8,2,0.0
11,7,0,0.0
11,7,1,0.0
11,7,2,0.0
0,3,0,0.0
0,3,1,0.0
0,3,2,0.0
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
14,9,0,0.0
14,9,1,0.0
14,9,2,0.0
10,2,0,0.0
10,2,1,0.0
10,2,2,0.9642857142857143
2,3,0,0.0
2,3,1,0.0
2,3,2,0.0
4,8,0,0.0
4,8,1,0.0
4,8,2,0.0
2,4,0,0.0
2,4,1,0.0
2,4,2,0.0
7,6,0,0.0
7,6,1,0.0
7,6,2,0.0
10,3,0,0.0
10,3,1,0.0
10,3,2,0.0
3,5,0,0.0
3,5,1,0.0
3,5,2,0.0
7,4,0,0.0
7,4,1,0.0
7,4,2,0.0
4,7,0,0.0
4,7,1,0.0
4,7,2,0.0
7,7,0,0.0
7,7,1,0.0
7,7,2,0.8928571428571429
2,6,0,0.0
2,6,1,0.0
2,6,2,0.0
5,4,0,0.0
5,4,1,0.0
5,4,2,0.0
2,0,0,0.0
2,0,1,0.0
2,0,2,0.0
3,0,0,0.0
3,0,1,0.0
3,0,2,0.0
2,13,0,0.0
2,13,1,0.0
7,5,0,0.0
7,5,1,0.0
7,5,2,0.0
1,0,0,0.0
1,0,1,0.0
1,0,2,0.0
0,7,0,0.0
0,7,1,0.0
0,7,2,0.0
3,14,0,0.0
3,14,1,0.0
3,14,2,0.0
5,5,0,0.0
5,5,1,0.0
5,5,2,0.0
8,1,0,0.0
8,1,1,0.0
8,1,2,0.0
5,8,0,0.0
5,8,1,0.0
5,8,2,0.0
4,6,0,0.0
4,6,1,0.0
4,6,2,0.0
9,5,0,0.0
9,5,1,0.0
9,5,2,0.0
4,5,0,0.0
4,5,1,0.0
4,5,2,0.0
13,2,0,0.0
13,2,1,0.0
13,2,2,0.0
11,2,0,0.0
11,2,1,0.0
11,2,2,0.0
6,11,0,0.0
6,11,1,0.0
6,11,2,0.2142857142857143
6,3,0,0.0
6,3,1,0.0
6,3,2,0.0
7,1,0,0.0
7,1,1,0.0
7,1,2,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
6,8,0,0.0
6,8,1,0.0
6,8,2,0.0
6,6,0,0.0
